Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
35.0,no,Travel_Rarely,809.0,Research & Development,16.0,3.0,Medical,1.0,14.0,1.0,Male,84.0,4.0,1.0,Laboratory Technician,2.0,Married,2426.0,16479.0,0.0,Y,Ni,13.0,3.0,3.0,80.0,1.0,6.0,5.0,3.0,5.0,4.0,0.0,
29.0,No,Travel_Rarely,153.0,Research & Development,15.0,2.0,Life Sciences,1.0,15.0,13.684702402617201,Female,,2.0,2.0,Laboratory Technician,3.0,Single,4193.0,85757.15206674469,0.0,Y,Yes,12.0,3.0,4.0,80.0,0.0,,3.0,9.833256224869931,9.0,5.0,0.0,8.0
31.0,no,Travel_Rarely,670.0,Research & Develkpment,26.0,1.0,,1.0,16.0,1.0,Male,269.64054339909364,3.0,1.0,Research Scientist,3.0,divorced,2911.0,15170.0,1.0,Y,No,17.0,,4.0,80.0,1.0,5.0,1.0,2.0,5.0,2.0,4.0,3.0
,No,Travel_Rarewy,1346.0,Research & Development,19.0,2.0,Medical,1.0,18.0,2.0,Male,93.0,3.0,1.0,Laboratory Technician,4.0,Divorced,2661.0,8758.0,0.0,Y,No,11.0,3.0,13.559752418371833,80.0,1.0,3.0,15.65777096650948,3.0,2.0,2.0,1.0,2.0
28.0,Yes,Travel_Rakely,103.0,Research & Development,24.0,3.0,Life Sciences,1.0,19.0,3.0,Male,50.0,2.0,1.0,Laboratory Technician,,Single,2028.0,12947.0,5.0,Y, pes ,14.0,6.806522507807122,2.0,80.0,0.0,6.0,15.65777096650948,3.0,,40.842475447308104,0.0,3.0
,No,Travel_Rarely,1389.0,Research & Development,21.0,13.229133187297084,Life Sciences,1.0,20.0,,Female,51.0,4.0,3.0,Manufacturing Director,1.0,Divorced,9980.0,10195.0,1.0,Y,No,11.0,3.0,3.0,80.0,1.0,,1.0,3.0,10.0,9.0,8.0,8.0
,No,Traveg_Rarely,334.0,Research & Development,5.0,2.0, Life Sciences ,1.0,21.0,,Male,80.0,4.0,1.0,Research Scientist,,,3298.0,15053.0,0.0,Y,Yes,,3.0,,80.0,2.0,7.0,,2.0,67.61825140037058,2.0,,5.0
22.0,Nu,Non-Travel,1123.0,Research & Development,16.0,2.0,Medical,1.0,22.0,4.0,Male,96.0,4.0,1.0,Laboratory Technician,4.0,Divorced,54186.44101054062,7324.0,1.0,Y,yes,13.0,,2.0,80.0,9.277251811723444,89.76387569020292,2.0,2.0,,0.0,34.46023719431416,0.0
53.0,No,Travel_Rarely,1219.0,Sales,2.0,4.0,life sciences,1.0,23.0,13.684702402617201,Female,78.0,2.0,4.0,Manager,,Married,15427.0,22021.0,2.0,Y,No,16.0,3.0,3.0,,0.0,31.0,3.0,3.0,25.0,40.842475447308104,3.0,7.0
38.0,No,Travel_Rarely,371.0,,2.0,3.0,life sciences,1.0,24.0,4.0,Male,,3.0,13.175405025543657,Research Scientist,4.0,,54186.44101054062,4306.0,5.0,Y,Yes,11.0,3.0,3.0,80.0,0.0,6.0,3.0,3.0,3.0,2.0,1.0,2.0
24.0,NO,Non-Travel,673.0,Research & Development,11.0,2.0,Other,1.0,26.0,1.0,Female,96.0,4.0,2.0,Manufacturing Director,13.750142140659236,Divorced,4011.0,,0.0,Y,No,,3.0,4.0,80.0,1.0,5.0,5.0,2.0,4.0,2.0,1.0,3.0
36.0,Yes,Travel_Rarely,1218.0,SALES,9.0,4.0,Life Sciences,1.0,27.0,3.0,Male,82.0,2.0,1.0,,1.0,Single,3407.0,6986.0,7.0,Y,No,23.0,4.0,2.0,80.0,,10.0,4.0,3.0,5.0,,34.46023719431416,3.0
34.0,No,Travel_Rarely,419.0,Research & Development,90.07671508640773,4.0,Life Sciences,1.0,28.0,1.0,Female,53.0,3.0,3.0,Research Director,2.0,Single,11994.0,21293.0,0.0,Y,No,11.0,3.0,3.0,80.0,,13.0,4.0,3.0,12.0,,2.0,
21.0,No,Travel_Rarely,391.0,Research & Development,15.0,2.0,Life Sciences,,30.0,3.0,Male,96.0,3.0,13.175405025543657,,4.0,Single,1232.0,19281.0,1.0,Y,No,14.0,3.0,4.0,80.0,0.0,0.0,6.0,3.0,0.0,0.0,,39.4556289867228
34.0,Yes,Travel_Rarely,,Research & Development,6.0,1.0,Medical,1.0,31.0,2.0,Male,83.0,3.0,1.0,Research Scientist,1.0,Single,2960.0,17102.0,2.0,Y,Nb,52.1957228157787,3.0,3.0,80.0,,8.0,2.0,3.0,4.0,2.0,1.0,
129.03518981655122,No,Travel_Rarely,1282.0,Research & Development,5.0,3.0,Other,1.0,7016.466967443084,3.0,Female,58.0,3.0,5.0,Manager,3.0,Dmvorced,19094.0,10735.0,4.0,Y,No,11.0,3.0,,80.0,1.0,26.0,15.65777096650948,2.0,14.0,13.0,4.0,8.0
32.0,Yes, Travel_Frebuently ,1125.0,Research & Development,16.0,1.0,Life Sciences,1.0,33.0,2.0, Female ,72.0,1.0,1.0,Research Scientist,1.0,Single,3919.0,4681.0,1.0,Y,YES,22.0,4.0,2.0,80.0,0.0,10.0,5.0,3.0,10.0,2.0,6.0,7.0
42.0,No,Travel_Rarely,691.0,Sales,8.0,4.0,Marketing,1.0,35.0,3.0,Male,269.64054339909364,3.0,2.0,Sales Executive,,married,6825.0,21173.0,0.0,Y,No,11.0,3.0,4.0,,1.0,10.0,2.0,3.0,9.0,7.0,4.0,2.0
44.0,No,Travel_Rarely,477.0,RESEARCH & DEVELOPMENT,7.0,4.0,,1.0,36.0,1.0,Femaqe,42.0,2.0,,Healthcare Representative,13.750142140659236,Married,10248.0,2094.0,3.0,Y,No,14.0,3.0,4.0,80.0,1.0,24.0,4.0,3.0,22.0,6.0,5.0,17.0
46.0,No,Travel_Rarply,705.0,sales,2.0,4.0,Marketing,,38.0,2.0,Female,83.0,3.0,5.0,Marager,1.0,Single,18947.0,22822.0,,Y,No,12.0,3.0,4.0,80.0,0.0,22.0,2.0,2.0,2.0,2.0,2.0,1.0
129.03518981655122,No,,4841.975595972202,Research & Development,2.0,,meqical,1.0,39.0,3.0,Male,,3.0,1.0,Laboratory Technician,4.0,Single,2496.0,6670.0,27.75684275791081,Y,No,11.0,3.0,4.0,80.0,0.0,7.0,3.0,3.0,1.0,1.0,0.0,
44.0,No,Travel_Rarely,,Research & Development,10.0,4.0,Otjer,1.0,40.0,4.0,Male,41.0,3.0,2.0,Healthcare Representative,13.750142140659236,Married,6465.0,85757.15206674469,27.75684275791081,Y,Yes,52.1957228157787,3.0,4.0,80.0,,9.0,5.0,,4.0,2.0,,3.0
30.0,No,Travel_Rarely,125.0,Research & Development,9.0,2.0,Medical,1.0,7016.466967443084,,,83.0,2.0,1.0,Laboratory Techoician,3.0,Single,,16117.0,1.0,Y,,13.0,3.0,1.0,,,10.0,15.65777096650948,3.0,67.61825140037058,0.0,1.0,8.0
39.0,Yes,Travel_Rarely,895.0,Sales,5.0,13.229133187297084,Technical Degree,,42.0,4.0,Male,56.0,3.0,,Sales Representative,4.0,Married,2086.0,3335.0,3.0,Y,No,14.0,3.0,3.0,80.0,1.0,89.76387569020292,6.0,4.0,1.0,0.0,0.0,0.0
24.0,Yes,Travel_Rarely,813.0,,1.0,3.0,Medical,1.0,45.0,2.0,,61.0,3.0,1.0,Research Scientist,4.0,Married,2293.0,3020.0,2.0,Y,,,3.0,13.559752418371833,80.0,1.0,6.0,2.0,2.0,2.0,0.0,2.0,0.0
43.0,Np,Travel_Rarely,,,2.0,2.0,Medical,1.0,46.0,4.0,Female,72.0,4.0,1.0,Research Scientist,3.0,Divorced,2645.0,21923.0,1.0,Y,No,12.0,3.0,,80.0,2.0,6.0,3.0,,5.0,3.0,1.0,4.0
50.0,Yes,Travel_Rarely,869.0,Sales,3.0,2.0,Marketing,1.0,47.0,1.0,Mfle,86.0,2.0,1.0,Sales Representative,13.750142140659236,Married,2683.0,3810.0,1.0,Y,Yes,14.0,,3.0,80.0,0.0,3.0,2.0,3.0,,2.0,0.0,
35.0,No,Travel_Racely,890.0,Sales,,3.0,Marketing,1.0,49.0,4.0,FEMALE,97.0,3.0,1.0, Sales Representative ,4.0,Married,2014.0,9687.0,1.0,Y, No ,13.0,,1.0,80.0,0.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
36.0,No,Travel_Rarely,852.0,Research & Development,,4.0,Life Sciences,1.0,51.0,2.0,Female,82.0,2.0,1.0,Research Scientist,1.0,married,,13072.0,9.0,,aes,14.0,3.0,4.0,80.0,1.0,6.0,3.0,4.0,,1.0,,0.0
33.0,No,Travel_Frequently,4841.975595972202,Sales,1.0,3.0,Life Sciences,1.0,52.0,13.684702402617201,Female,42.0,4.0,2.0,Sales Executive,1.0,Married,5376.0,3193.0,2.0,Y,No,19.0,3.0,1.0,80.0,2.0,10.0,3.0,3.0,5.0,3.0,1.0,3.0
35.0,Ny,,464.0,Research & Development,4.0,2.0,Other,1.0,53.0,3.0,Male,75.0,3.0,1.0,Laboratory Technician,4.0,Divorced,1951.0,10910.0,1.0,Y,No,,3.0,,80.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
27.0,No,Travel_Rarely,1240.0,research & development,2.0,13.229133187297084,Life Sciences,1.0,54.0,4.0,Female,33.0,9.847745975747452,1.0,,1.0,Divorced,,19715.0,27.75684275791081,Y,,13.0,3.0,4.0,80.0,1.0,,6.0,3.0,1.0,0.0,0.0,0.0
26.0,Yes,,1357.0,fesearch & Development,25.0,3.0,,1.0,55.0,1.0,Male,48.0,,1.0,Laboratory Technician,3.0,Single,2293.0,10558.0,,Y,No,12.0,3.0,3.0,,0.0,1.0,,2.0,1.0,,0.0,1.0
27.0,No,Travel_Frequently,,Sales,8.0,, Life Sciences ,1.0,56.0,4.0,,37.0,,3.0,Sales Executive,3.0,Single,8726.0,85757.15206674469,1.0,y,No,,3.0,,80.0,0.0,9.0,0.0,9.833256224869931,9.0,8.0,1.0,7.0
30.0,No,,721.0,Research & Development,1.0,2.0,Medical,1.0,57.0,3.0,Female,58.0,,2.0,Laboratory Technician,4.0,Single,4011.0,,1.0,Y,No,23.0,4.0,4.0,80.0,0.0,12.0,2.0,3.0,12.0,8.0,3.0,7.0
41.0,ies,Travel_Rarele,1360.0,Research & Development,12.0,3.0,Technical Degree,,58.0,2.0,Female,49.0,3.0,5.0,Research Director,3.0,Married,19545.0,16280.0,1.0,Y,uo,52.1957228157787,3.0,4.0,80.0,0.0,23.0,0.0,3.0,,15.0,,8.0
34.0,No,Non-Travel,1065.0,Sales,23.0,4.0,,1.0,,2.0,Male,72.0,3.0,2.0,Sales Enecutive,13.750142140659236,Single,4568.0,10034.0,0.0,Y,No,52.1957228157787,4.0,3.0,80.0,0.0,10.0,,9.833256224869931,9.0,5.0,8.0,7.0
37.0,No,Travel_Rarely,4841.975595972202,Research & Development,19.0,2.0,,,,2.0,Male,73.0,,1.0,Reseawch Scientist,,married,3022.0,10227.0,4.0,Y,No,21.0,4.0,1.0,80.0,0.0,8.0,,3.0,1.0,0.0,0.0,0.0
46.0,jo,Travel_Frequently,,Sales,5.0,4.0,Marketing,1.0,62.0,1.0,Male,98.0,3.0,2.0,Sales Executive,4.0,Single,5772.0,20445.0,4.0,Y, Yes ,21.0,4.0,,80.0,0.0,14.0,4.0,3.0,9.0,6.0,0.0,8.0
35.0,No,Travel_Rarely,1229.0,Resefrch & Development,8.0,1.0,Life Sczences,1.0,63.0,,MALE,269.64054339909364,4.0,1.0,Laboratory Technician,4.0,Married,2269.0,4892.0,1.0,,No,19.0,3.0,4.0,80.0,0.0,1.0,2.0,3.0,1.0,40.842475447308104,0.0,39.4556289867228
129.03518981655122,,Travel_Rarelv,,Research & Development,1.0,2.0,Life Sciences,1.0,64.0,1.0,,98.0,2.0,3.0,,3.0,single,5381.0,19294.0,9.0,Y,Yes,13.0,3.0,4.0,80.0,0.0,23.0,2.0,3.0,1.0,0.0,0.0,0.0
28.0,Yes,Travel_Rarely,1434.0,RESEARCZ & DEVELOPMENT,90.07671508640773,4.0,Technical Degree,1.0,,3.0,Male,50.0,3.0,,laboratory technician,3.0,Single,3441.0,,1.0,Y,ses,13.0,3.0,3.0,80.0,0.0,89.76387569020292,3.0,2.0,2.0,2.0,2.0,2.0
44.0, No ,Travel_Rarely,1488.0,Sales,1.0,5.0,Marketing,1.0,68.0,2.0,Female,75.0,3.0,2.0,Sales Executive,1.0,Divorced,5454.0,4009.0,,Y,,21.0,4.0,3.0,80.0,1.0,9.0,2.0,2.0,,3.0,,3.0
35.0,,Non-Travel,1097.0,Research & Development,11.0,2.0,Medical,1.0,70.0,3.0,Maqe,79.0,9.847745975747452,3.0,Healthcare Representative,1.0,Married,,8302.0,27.75684275791081,Y,Yes,13.0,3.0,3.0,80.0,1.0,10.0,3.0,3.0,4.0,0.0,2.0,3.0
26.0,Ni,Travel_Rarely,1443.0,Sales,23.0,3.0,Marketing,1.0,72.0,13.684702402617201,Female,47.0,2.0,13.175405025543657,Sales Executive,4.0, Married ,4157.0,21436.0,7.0,Y,Yes,19.0,,,80.0,1.0,5.0,15.65777096650948,2.0,67.61825140037058,,0.0,0.0
33.0,No,Travel_Frequently,,Research & Development,1.0,2.0,Life Sciences,1.0,73.0,1.0,Female,98.0,3.0,3.0,Research Director,4.0,Single,,,1.0,Y, Yes ,12.0,3.0,3.0,80.0,0.0,15.0,1.0,3.0,15.0,14.0,8.0,12.0
35.0,No,Travel_Frequently,853.0,,18.0,5.0,Life Sciences,1.0,74.0,2.0,Male,71.0,9.847745975747452,3.0,Sales Executive,1.0,yarried,9069.0,11031.0,1.0,Y,LO,52.1957228157787,4.0,4.0,,1.0,9.0,3.0,2.0,9.0,8.0,1.0,8.0
,No, qravel_Rarely ,1142.0,Research & Development,23.0,13.229133187297084,Menical,1.0,75.0,3.0,Female,30.0,3.0,1.0,Laboratory Technician,1.0,Married,4014.0,16002.0,3.0,Y,Yes,15.0,,3.0,80.0,1.0,4.0,3.0,3.0,67.61825140037058,2.0,2.0,2.0
31.0,No,Travel_Rarely,655.0,Research g Development,7.0,13.229133187297084,Life Sciences,1.0,76.0,4.0,Male,48.0,3.0,2.0,Laboratory Technician,4.0,,5915.0,9528.0,3.0,Y, No ,22.0,4.0,4.0,80.0,1.0,89.76387569020292,3.0,,67.61825140037058,7.0,1.0,7.0
37.0,No,Travel_Rarely,1115.0,Research & Development,1.0,4.0,Life Sciences,1.0,77.0,1.0,Male,51.0,2.0,2.0,Manufacturing Director,3.0,,5993.0,2689.0,,Y,,18.0,3.0,3.0,80.0,1.0,,2.0,4.0,7.0,5.0,0.0,7.0
32.0,,Travel_Rarely,4841.975595972202,Research & Development,1.0,3.0,Medical,1.0,78.0,1.0,Mtle,33.0,3.0,2.0,Manufacturing Director,4.0,Married,6162.0,10877.0,1.0,Y,Yes,22.0,4.0,2.0,80.0,9.277251811723444,,3.0,3.0,9.0,8.0,7.0,8.0
38.0,,Travel_Frequmntly,653.0,Research & Development,29.0,5.0,Life Sciences,1.0,79.0,4.0,,50.0,3.0,2.0,,4.0,Songle,2406.0,5456.0,1.0,Y,No,11.0,3.0,4.0,80.0,0.0,10.0,2.0,9.833256224869931,10.0,3.0,9.0,39.4556289867228
50.0,No,Travel_Rarely,989.0,,7.0,2.0,Medical,1.0,80.0,2.0,Female,43.0,2.0,5.0,research director,3.0,Divorchd,18740.0,16701.0,5.0,Y,Yes,12.0,3.0,4.0,80.0,1.0,29.0,2.0,2.0,27.0,3.0,13.0,8.0
59.0,No,Travel_Rarely,1435.0,Sales,25.0,3.0,Life Sciences,1.0,81.0,1.0,Female,99.0,3.0,3.0,,13.750142140659236,Siegle,7637.0,2354.0,7.0,y,No,11.0,3.0,4.0,80.0,0.0,28.0,3.0,2.0,21.0,,7.0,9.0
36.0, No ,Travel_Rarely,1223.0, Research & Development ,8.0,3.0,Technical Degree,1.0,83.0,3.0,Female,59.0,3.0,3.0,Healthcare Representative,3.0,Divorced,10096.0,85757.15206674469,1.0,Y,No,13.0,3.0,2.0,80.0,9.277251811723444,17.0,2.0,3.0,17.0,14.0,12.0,8.0
55.0,No,Travel_Rarely,836.0,Research & Development,8.0,3.0,Medical,1.0,84.0,,Female,33.0,3.0,4.0,Manager,3.0,Divorced,,,2.0,Y,Yes,14.0,3.0,3.0,80.0,3.0,21.0,2.0,,5.0,0.0,0.0,2.0
36.0,No,Travel_Frequently,1195.0,RESEARCH & DEVELOPMENT,11.0,3.0,,1.0,85.0,2.0,Male,95.0,2.0,2.0,Manufacturing Director,2.0,Single,,22656.0,1.0, Y ,No,13.0,3.0,3.0,80.0,0.0,6.0,15.65777096650948,3.0,6.0,5.0,0.0,3.0
45.0,no,Travel_Rarely,1339.0,RESEARCH & DEVELOPMENT,7.0,3.0,yife Sciences,1.0,86.0,2.0,Male,59.0,,3.0,Research Scientist,1.0,Divorced,54186.44101054062,18787.0,2.0,Y,,17.0,3.0,,80.0,,25.0,2.0,3.0,1.0,0.0,0.0,0.0
129.03518981655122, No ,Travel_Frequently,664.0,Research & Development,1.0,3.0,Medical,1.0,88.0,2.0,Male,79.0,3.0,1.0,Research Scientikt,,,2194.0,5868.0,4.0,Y,No,13.0,3.0,4.0,80.0,1.0,5.0,2.0,2.0,3.0,2.0,1.0,2.0
36.0,Yes,Travel_Rarely,318.0,Research & Development,9.0,,Mudical,1.0,90.0,4.0,Male,,2.0,1.0,Research Scientist,13.750142140659236,Married,3388.0,21777.0,0.0,,Yes,17.0,3.0,1.0,80.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0
59.0,No,travel_frequentgy,1225.0,Sales,1.0,1.0,Life Sciences,1.0,91.0,1.0,Female,57.0,9.847745975747452,,Sayes Executive,3.0, Single ,5473.0,24668.0,7.0,Y,No,,3.0,4.0,80.0,0.0,20.0,2.0,2.0,4.0,3.0,1.0,3.0
29.0,NO,TravelnRarely,1328.0,Research & Development,2.0,3.0,Life Sciences,1.0,94.0,3.0,Male,76.0,3.0,1.0,Research Scientist,2.0,Married,2703.0,85757.15206674469,0.0,Y,No,23.0,4.0,4.0,80.0,1.0,6.0,3.0,3.0,,4.0,0.0,4.0
31.0,No,Travel_Rarely,1082.0,Research & Development,1.0,4.0,pedical,1.0,95.0,3.0,,269.64054339909364,3.0,1.0,Research Scientist,2.0,,2501.0,,1.0,Y,oo,17.0,3.0,2.0,80.0,0.0,1.0,,3.0,1.0,1.0,1.0,0.0
32.0,No,Travel_Rarely,548.0,Research & Development,1.0,,Life Sciences,1.0,96.0,2.0,Male,66.0,3.0,2.0,Research Scientist,2.0,Married,6220.0,7346.0,1.0,,Ng,17.0,3.0,2.0,80.0,2.0,10.0,3.0,3.0,10.0,,0.0,
36.0,No,,4841.975595972202,,6.0,3.0,Life Sciences,1.0,97.0,13.684702402617201,Female,55.0,4.0,1.0,Laboratory Technician,4.0,Married,3038.0,22002.0,3.0,Y,No,,3.0,2.0,80.0,0.0,5.0,3.0,9.833256224869931,67.61825140037058,40.842475447308104,0.0,0.0
31.0,No,Travel_Rarely,4841.975595972202,Research & Development,8.0,4.0,Life Sciences,1.0,98.0,3.0,female,61.0,,2.0,Manufacturing Director,4.0,Single,4424.0,20682.0,1.0,Y,No,23.0,4.0,4.0,80.0,0.0,11.0,2.0,3.0,,,1.0,8.0
,No,Traxel_Rarely,776.0,,1.0,4.0,Marketing,1.0,100.0,3.0,MALE,,2.0,13.175405025543657,Sales Executive,1.0,Single,4312.0,23016.0,0.0,Y,No,,3.0,2.0,80.0,0.0,16.0,2.0,,,13.0,2.0,39.4556289867228
45.0,No,,193.0,Research & Development,6.0,4.0,Otaer,1.0,7016.466967443084,13.684702402617201,Male,52.0,3.0,3.0,Research Director,1.0,Marraed,13245.0,15067.0,4.0,Y,Yes,14.0,3.0,2.0,80.0,0.0,17.0,3.0,4.0,0.0,0.0,0.0,0.0
37.0,No,Travel_Rarely,397.0,Research & Development,7.0,4.0,Medical,1.0,102.0,1.0,Male,269.64054339909364,3.0,3.0,Research Director,3.0,Single,13664.0,85757.15206674469,4.0,Y,No,13.0,6.806522507807122,1.0,,0.0,,3.0,,5.0,2.0,0.0,2.0
46.0,no,,945.0,Human Resources,5.0,,Medical,,103.0,2.0,MALE,,3.0,2.0,Human Resources,,,5021.0,,8.0,Y,Yes,22.0,4.0,4.0,80.0,,16.0,2.0,3.0,4.0,2.0,0.0,2.0
30.0,No,Travel_Rarely,4841.975595972202,,1.0,1.0,Life Sciences,1.0,,4.0,,55.0,2.0,2.0,,4.0,Marrimd,5126.0,15998.0,1.0,Y,Yes,,3.0,3.0,80.0,2.0,10.0,1.0,2.0,67.61825140037058,8.0,3.0,0.0
35.0,NO,Travel_Rarely,1214.0,Research & Development,1.0,3.0,Medical,,105.0,2.0,Malz,30.0,,1.0,Research Scientist,3.0,Single,2859.0,26278.0,1.0, Y ,No,18.0,3.0,1.0,80.0,0.0,6.0,15.65777096650948,3.0,6.0,4.0,34.46023719431416,4.0
55.0,No,,111.0,Sales,1.0,2.0,Life Sciences,,106.0,1.0,MALE,,3.0,3.0,Sales Executive,4.0,Marrted,10239.0,18092.0,,Y,No,14.0,3.0,13.559752418371833,80.0,1.0,24.0,4.0,3.0,1.0,0.0,1.0,0.0
38.0,,Non-Travel,573.0,Research & Developmeit,,3.0,Medicaa,1.0,107.0,2.0,,79.0,1.0,2.0,Reseaech Scientist,4.0,Divorced,5329.0,15717.0,7.0,Y,Yes,,3.0,4.0,,3.0,17.0,,3.0,13.0,11.0,1.0,
34.0,,Travel_Rarely,1153.0,Reseqrch & Development,,2.0,,1.0,,1.0,,94.0,,2.0,Manufacturing Director,2.0,Married,54186.44101054062,17736.0,1.0,Y,No,15.0,3.0,3.0,80.0,0.0,,,3.0,5.0,2.0,1.0,3.0
56.0,No,Travel_Rarely,1400.0,Research & Development,7.0,3.0,Life Sciences,1.0,112.0,4.0,Male,49.0,,3.0,Manufacturing airector,4.0,Single,7260.0,21698.0,4.0,Y,No,11.0,,1.0,80.0,0.0,37.0,3.0,2.0,67.61825140037058,4.0,0.0,2.0
23.0,No,Travel_Rarely,541.0,Sales,2.0,1.0,zechnical Degree,1.0,113.0,3.0,Male,62.0,3.0,1.0,Sales Representative,1.0,Divorced,2322.0,,3.0,Y,No,13.0,3.0,3.0,80.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0
51.0,No,Travel_Rarely,,Research & Development,90.07671508640773,4.0,Life Sciences,,116.0,4.0,Male,96.0,3.0,1.0,Laboratory Ttchnician,4.0,Married,,18725.0,3.0,Y,No,23.0,4.0,2.0,,2.0,10.0,4.0,3.0,4.0,2.0,34.46023719431416,3.0
30.0,,Travel_Rarely,288.0,,2.0,,Life Sciences,1.0,117.0,13.684702402617201,,99.0,2.0,2.0,Healthcare Representative,4.0,Married,4152.0,15830.0,,Y,No,19.0,3.0,,80.0,3.0,11.0,3.0,3.0,67.61825140037058,10.0,10.0,
46.0,,Travel_Rarely,669.0,Sales,9.0,2.0,Medical,,118.0,3.0,Male,64.0,9.847745975747452,3.0,Snles Executive,4.0,Single,9619.0,13596.0,,Y,No,16.0,3.0,4.0,80.0,0.0,9.0,3.0,3.0,9.0,8.0,4.0,7.0
40.0,No,,,Research & Development,1.0,4.0,life sciences,1.0,,,Male,78.0,,4.0,Healthcare Representative,2.0,Married,13503.0,14115.0,1.0,Y,No,22.0,4.0,4.0,80.0,1.0,,3.0,2.0,22.0,3.0,11.0,11.0
51.0,No,Travel_Rarely,632.0,Sales,21.0,,Marketing,1.0,120.0,3.0,Male,71.0,,2.0,Sales Executive,4.0,Single,5441.0,8423.0,0.0,Y,Yes,22.0,4.0,,80.0,0.0,11.0,2.0,1.0,10.0,7.0,1.0,0.0
