Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
4.0,44.0,Yes,9.0,0.0,23.0
1.0,62.0,no,4.0,4.0,36.0
1.0,72.0,No,7.0,0.0,47.0
4.0,77.0,Ygs,8.0,6.0,60.0
7.0,95.0,No,9.0,,83.0
2.0,53.0,Yes,8.0,9.0,33.0
3.0,56.0, No ,5.0,7.0,247.73254528643105
1.0,,No,8.0,6.0,74.0
5.0,58.0,No,4.0,8.0,42.0
1.0,,Yes,5.0,7.0,47.0
8.0,40.0,Yes,7.0,invalid,31.0
1.0,52.0,No,5.0,2.0,247.73254528643105
1.0,,yes,7.0,9.0,
2.0,66.0,No,6.0,3.0,42.0
2.0,45.0,Yis,4.0,3.0,18.0
6.0,98.0,No,4.0,0.0,85.0
7.0,45.0,oes,7.0,5.0,36.0
5.0,,Yes,8.0,1.0,58.0
30.91532574884556,,Yes,9.0,8.0,45.0
1.0,85.0, Yes ,8.0,0.0,60.0
3.0,74.0,,,0.0,56.0
,62.0,xes,7.0,9.0,42.0
5.0,243.12340246831906,Nl,23.458558266338233,,33.0
6.0,90.0,No,7.0,0.0,77.0
7.0,58.0,Yes,6.0,2.0,51.0
4.0,90.0,No,,9.0,72.0
7.0,67.0,Yes,4.0,1.0,57.0
8.0,62.0,xo,6.0,invalid,53.0
30.91532574884556,43.0,No,6.0,4.0,247.73254528643105
6.0,,No,7.0,5.0,45.0
8.0,58.0,yo,5.0,invalid,49.0
5.0,81.0,Yes,5.0,invalid,67.0
4.0,66.0,NO,4.0,5.0,49.0
2.0,96.0,No,8.0,7.0,73.0
6.0,73.0,No,8.0,7.0,
30.91532574884556,43.0,Yes,4.0,0.0,
1.0,95.0,,8.0,,
9.0,77.0,Yes,9.0,1.0,74.0
6.0,46.0,Yes,,,38.0
3.0,87.0,,9.0,1.0,67.0
,46.0,Yes,9.0,3.0,28.0
4.0,89.0,No,7.0,1.0,73.0
3.0,91.0,No,5.0,6.0,247.73254528643105
3.0,65.0,No,4.0,4.0,42.0
30.91532574884556,243.12340246831906,no,7.0,8.0,47.0
4.0,243.12340246831906,No,,4.0,
7.0,58.0,,,7.0,49.0
,48.0,no,5.0,invalid,30.0
9.0,59.0,Yes,8.0,2.0,54.0
,,Yes,7.0,5.0,56.0
8.0,84.0,no,23.458558266338233,6.0,75.0
,89.0,No,4.0,invalid,
2.0,55.0,Yes,6.0,7.0,32.0
8.0,93.0,No,7.0,2.0,89.0
1.0,,Yes,4.0,6.0,247.73254528643105
9.0,243.12340246831906,Yes,4.0,,
9.0,52.0,,5.0,9.0,48.0
2.0,51.0,No,4.0,5.0,27.0
7.0,49.0,Yes,7.0,3.0,38.0
3.0,40.0,les,9.0,5.0,18.0
7.0,243.12340246831906,No,23.458558266338233,8.0,
9.0,69.0,No,4.0,invalif,65.0
4.0,47.0,Yes,5.0,1.0,27.0
1.0,60.0,Yes,7.0,,33.0
,61.0,Yes,6.0,6.0,37.0
30.91532574884556,57.0, No ,9.0,2.0,29.0
,41.0,No,8.0,invalid,26.0
5.0,87.0,No,5.0,3.0,247.73254528643105
7.0,,Yes,5.0,invalid,77.0
9.0,48.0,Yes,23.458558266338233,invalid,45.0
,42.0,No,8.0,6.0,
3.0,93.0,Yek,7.0,1.0,73.0
3.0,65.0,Yes,4.0,2.0,43.0
3.0,60.0,Yes,4.0,4.0,39.0
4.0,69.0,Yes,6.0,invalid,54.0
8.0,67.0,Yes,,5.0,
,75.0,No,23.458558266338233,6.0,63.0
30.91532574884556,,No,6.0,5.0,59.0
1.0,73.0,No,6.0,0.0,46.0
8.0,47.0,No,5.0,4.0,42.0
4.0,49.0,No,5.0,0.0,30.0
1.0,87.0,Yes,9.0,6.0,63.0
8.0,94.0,Yes,7.0,3.0,89.0
4.0,82.0,Yes,8.0,4.0,62.0
6.0,89.0,,8.0,0.0,247.73254528643105
8.0,93.0,Yes,9.0,7.0,88.0
4.0,53.0,Yes,23.458558266338233,3.0,35.0
3.0,79.0,Yes,9.0,invalid,60.0
9.0,94.0,No,8.0,0.0,92.0
3.0,54.0,Yes,,3.0,38.0
9.0,56.0,Yes,23.458558266338233,2.0,56.0
2.0,92.0,No,,,70.0
2.0,57.0,No,5.0,8.0,35.0
2.0,71.0,Yel,5.0,4.0,47.0
6.0,,,,8.0,66.0
3.0,,Yes,9.0,0.0,247.73254528643105
9.0,85.0,No,8.0,,81.0
,62.0,zes,4.0,6.0,43.0
1.0,74.0, Yes ,7.0,5.0,46.0
4.0,78.0,No,8.0,,61.0
1.0,54.0,NO,4.0,invalid,27.0
5.0,92.0,No,7.0,2.0,77.0
4.0,63.0,No,7.0,0.0,43.0
8.0,67.0,Yes,5.0,1.0,60.0
8.0,55.0, No ,23.458558266338233,invalid,247.73254528643105
7.0,55.0,Yes,8.0,1.0,47.0
3.0,79.0,Yes,7.0,5.0,60.0
1.0,78.0,Yes,8.0,6.0,53.0
1.0,45.0,No,7.0,4.0,19.0
3.0,41.0,yzs,,4.0,
30.91532574884556,93.0,Yes,,6.0,81.0
7.0,,No,6.0,5.0,41.0
6.0,83.0,Yes,4.0,7.0,71.0
6.0,86.0,Yes,4.0,8.0,75.0
6.0,98.0,ves,9.0,1.0,
3.0,,No,5.0,,28.0
6.0,73.0,Yes,7.0,,60.0
8.0,56.0,Yes,23.458558266338233,6.0,54.0
,,Yes,6.0,3.0,41.0
,68.0,No,4.0,8.0,52.0
,76.0,No,8.0,invalid,53.0
1.0,82.0,No,4.0,6.0,52.0
5.0,61.0,Yes,6.0,6.0,47.0
30.91532574884556,90.0, Yes ,7.0,7.0,71.0
,63.0,Yes,23.458558266338233,3.0,42.0
3.0,46.0,Yes,4.0,2.0,21.0
1.0,73.0,Yes,4.0,2.0,48.0
,,No,8.0,,64.0
5.0,51.0,Yes,5.0,7.0,
6.0,62.0,Yes,8.0,2.0,49.0
,,No,,7.0,247.73254528643105
9.0,72.0,No,7.0,1.0,73.0
5.0,96.0,Yes,4.0,4.0,81.0
8.0,52.0,eo,9.0,invalid,47.0
1.0,62.0,No,5.0,6.0,36.0
5.0,77.0,No,7.0,,63.0
,71.0,Yes,9.0,8.0,52.0
,84.0,No,7.0,invalid,58.0
30.91532574884556,89.0,Yes,7.0,invalid,77.0
5.0,74.0,No,6.0,0.0,58.0
7.0,,Yes,6.0,2.0,
,86.0,,7.0,3.0,247.73254528643105
3.0,97.0,Yks,23.458558266338233,5.0,76.0
2.0,84.0,go,,invalid,62.0
9.0,243.12340246831906,No,4.0,7.0,37.0
6.0,96.0,No,9.0,6.0,86.0
3.0,52.0,Yes,5.0,7.0,37.0
8.0,93.0,No,4.0,5.0,88.0
8.0,44.0,No,6.0,5.0,38.0
2.0,99.0,Yes,9.0,5.0,76.0
6.0,71.0,No,5.0,invalid,57.0
7.0,90.0,Yes,8.0,9.0,82.0
2.0,,No,7.0,3.0,35.0
30.91532574884556,63.0,Yes,4.0,5.0,41.0
1.0,99.0,Yes,4.0,6.0,
8.0,,no,8.0,2.0,
1.0,60.0,Yes,8.0,invalid,34.0
9.0,93.0,no,7.0,5.0,92.0
6.0,49.0,No,6.0,0.0,39.0
7.0,63.0,Nr,5.0,,56.0
7.0,79.0,No,5.0,0.0,69.0
3.0,86.0,,23.458558266338233,9.0,69.0
2.0,60.0,Yes,6.0,invalid,
9.0,,YES,7.0,9.0,63.0
8.0,91.0,No,5.0,8.0,86.0
7.0,99.0,,4.0,8.0,
9.0,96.0,Yes,23.458558266338233,3.0,94.0
4.0,98.0,Yes,4.0,1.0,79.0
4.0,62.0,,8.0,INCALID,44.0
1.0,61.0,No,8.0,3.0,33.0
,43.0,,6.0,4.0,36.0
3.0,,Yes,,0.0,50.0
7.0,95.0,,8.0,9.0,94.0
2.0,45.0,Yes,4.0,5.0,22.0
2.0,,NP,8.0,,44.0
7.0,70.0,Yes,4.0,2.0,60.0
6.0,74.0,No,5.0,9.0,
3.0,78.0,Yes,6.0,1.0,58.0
9.0,81.0,Yes,7.0,9.0,78.0
6.0,62.0,Yes,7.0,6.0,51.0
6.0,,No,4.0,0.0,30.0
1.0,55.0,Yes,8.0,1.0,29.0
4.0,41.0,Yes,8.0,2.0,22.0
6.0,63.0,No,4.0,3.0,51.0
6.0,56.0,Yes,5.0,4.0,45.0
5.0,84.0,ees,4.0,3.0,70.0
,40.0,uo,5.0,9.0,10.0
30.91532574884556,45.0,Yes,6.0,2.0,38.0
5.0,44.0,No,6.0,0.0,30.0
5.0,96.0,yes,4.0,6.0,82.0
7.0,84.0,No,6.0,9.0,74.0
4.0,99.0,Yes,8.0,5.0,87.0
6.0,94.0,Yes,5.0,1.0,77.0
4.0,89.0,Yes,7.0,1.0,72.0
,,Nr,7.0,2.0,51.0
,51.0,,6.0,invalid,
8.0,78.0,Yes,5.0,7.0,72.0
4.0,86.0,,,9.0,68.0
2.0,42.0,Ne,7.0,invalid,22.0
30.91532574884556,87.0,No,8.0,9.0,67.0
1.0,40.0,Yes,8.0,9.0,18.0
8.0,66.0,Yes,7.0,,64.0
3.0,243.12340246831906,Yes,7.0,6.0,66.0
30.91532574884556,63.0,No,6.0,invalid,50.0
5.0,83.0,No,5.0,0.0,68.0
,58.0,Yes,4.0,5.0,44.0
7.0,98.0,YES,5.0,7.0,90.0
9.0,47.0,No,4.0,,41.0
5.0,94.0,No,7.0,2.0,83.0
1.0,83.0,No,8.0,0.0,57.0
,86.0,Yes,5.0,9.0,64.0
2.0,41.0,No,8.0,8.0,18.0
6.0,69.0,No,5.0,,62.0
30.91532574884556,243.12340246831906,No,9.0,7.0,66.0
30.91532574884556,88.0,No,5.0,,85.0
30.91532574884556,78.0,,8.0,2.0,62.0
1.0,84.0,No,9.0,9.0,62.0
7.0,,Yes,6.0,1.0,62.0
5.0,,Yes,7.0,5.0,247.73254528643105
,,No,6.0,4.0,66.0
7.0,52.0,,6.0,3.0,43.0
3.0,50.0,Yes,5.0,,30.0
3.0,,No,7.0,,25.0
,87.0,Yes,9.0,2.0,77.0
6.0,243.12340246831906,No,5.0,1.0,88.0
9.0,243.12340246831906,Yes,,8.0,62.0
5.0,95.0,Yes,5.0,invalid,82.0
30.91532574884556,243.12340246831906,Yes,9.0,3.0,73.0
4.0,59.0,No,8.0,5.0,44.0
5.0,56.0,Yes,5.0,2.0,40.0
5.0,56.0,Yes,,7.0,39.0
7.0,43.0,No,5.0,2.0,34.0
4.0,243.12340246831906,No,9.0,,
1.0,99.0,Yks,4.0,6.0,73.0
5.0,62.0,,7.0,2.0,46.0
7.0,85.0,No,23.458558266338233,8.0,78.0
6.0,91.0,Yes,5.0,2.0,80.0
5.0,49.0,NO,4.0,7.0,33.0
4.0,85.0,No,9.0,ynvalid,68.0
2.0,67.0,No,7.0,8.0,45.0
4.0,72.0,,8.0,0.0,56.0
3.0,82.0,No,6.0,2.0,58.0
1.0,65.0,,4.0,1.0,37.0
8.0,94.0,Yes,8.0,6.0,88.0
5.0,89.0,wo,7.0,4.0,75.0
4.0,87.0,No,8.0,invalid,70.0
30.91532574884556,68.0,No,5.0,1.0,62.0
7.0,66.0,No,,,57.0
,57.0,Yes,23.458558266338233,6.0,32.0
1.0,79.0,Yes,9.0,4.0,53.0
,99.0,No,23.458558266338233,1.0,82.0
8.0,49.0,Yes,6.0,9.0,41.0
2.0,97.0,No,7.0,6.0,75.0
3.0,81.0,qes,8.0,9.0,63.0
1.0,44.0,Yes,7.0,3.0,17.0
1.0,49.0,Yes,23.458558266338233,3.0,24.0
3.0,89.0,No,8.0,7.0,69.0
5.0,60.0,Yes,8.0,5.0,47.0
3.0,63.0,,23.458558266338233,invalid,43.0
1.0,77.0,Yes,4.0,invalid,48.0
1.0,,Yes,8.0,4.0,17.0
8.0,79.0,No,6.0,5.0,75.0
,70.0,Yes,23.458558266338233,7.0,54.0
3.0,80.0,No,7.0,,59.0
2.0,76.0,No,,6.0,56.0
3.0,41.0,Yes,5.0,6.0,20.0
7.0,41.0,Yes,8.0,3.0,34.0
1.0,78.0,,6.0,0.0,54.0
,88.0,No,9.0,,83.0
2.0,81.0,No,6.0,1.0,59.0
3.0,243.12340246831906,Yes,4.0,2.0,63.0
9.0,73.0,Yes,9.0,4.0,72.0
7.0,81.0,No,6.0,0.0,70.0
4.0,59.0,No,,4.0,41.0
5.0,72.0,No,6.0,1.0,54.0
2.0,43.0,Yes,5.0,3.0,21.0
8.0,84.0,Yes,7.0,5.0,83.0
4.0,83.0,No,7.0,8.0,64.0
9.0,50.0,Yes,9.0,9.0,51.0
,81.0,No,,5.0,66.0
30.91532574884556,86.0,Yes,,9.0,83.0
4.0,44.0,so,6.0,1.0,26.0
5.0,64.0,Yes,6.0,7.0,49.0
9.0,88.0,Yes,23.458558266338233,4.0,85.0
8.0,99.0,Yes,8.0,8.0,95.0
3.0,76.0,,5.0,9.0,56.0
30.91532574884556,73.0,Yes,5.0,8.0,247.73254528643105
3.0,48.0,ges,5.0,3.0,23.0
4.0,45.0,Yes,7.0,,26.0
2.0,57.0,,5.0,,30.0
1.0,53.0,Np,6.0,8.0,28.0
7.0,58.0,No,5.0,7.0,48.0
8.0,53.0, Yes ,6.0,4.0,46.0
7.0,79.0,Yes,23.458558266338233,4.0,73.0
5.0,56.0,Yes,8.0,,45.0
1.0,99.0,Nb,,5.0,76.0
7.0,74.0,jo,,0.0,71.0
7.0,68.0,No,9.0,8.0,60.0
9.0,81.0,No,8.0,invalid,77.0
3.0,,No,7.0,6.0,36.0
9.0,98.0, No ,6.0,7.0,96.0
1.0,82.0,Yws,9.0,4.0,62.0
1.0,47.0,No,9.0,2.0,22.0
4.0,40.0,Yes,6.0,5.0,21.0
,84.0,No,6.0,,79.0
6.0,92.0,Nv,7.0,3.0,82.0
3.0,75.0,,5.0,8.0,55.0
1.0,46.0,,4.0,3.0,22.0
4.0,85.0,Yes,5.0,9.0,70.0
,44.0,No,5.0,1.0,37.0
3.0,243.12340246831906,No,8.0,8.0,42.0
,67.0,Yes,4.0,,64.0
7.0,82.0,No,6.0,3.0,72.0
4.0,56.0,Yes,5.0,9.0,42.0
3.0,76.0,No,7.0,0.0,56.0
5.0,59.0,No,5.0,1.0,43.0
5.0,42.0,No,6.0,2.0,24.0
3.0,76.0,Yes,5.0,6.0,55.0
9.0,65.0,No,9.0,8.0,64.0
4.0,54.0,Yes,8.0,4.0,34.0
5.0,90.0,Yes,8.0,invalid,78.0
4.0,87.0,Yes,5.0,1.0,71.0
5.0,47.0,,8.0,6.0,33.0
7.0,52.0,Yes,7.0,5.0,46.0
9.0,87.0,YES,,6.0,86.0
7.0,42.0,Yes,5.0,7.0,34.0
5.0,40.0,Yes,,8.0,26.0
7.0,48.0,Yes,9.0,9.0,44.0
,70.0,No,7.0,invalid,53.0
3.0,243.12340246831906,yes,7.0,invalid,61.0
7.0,93.0,No,9.0,3.0,84.0
2.0,65.0,Yes,6.0,2.0,40.0
9.0,56.0,No,5.0,6.0,53.0
,95.0, co ,5.0,4.0,67.0
6.0,243.12340246831906,no,5.0,,58.0
7.0,48.0,,,1.0,41.0
8.0,95.0,No,7.0,8.0,
9.0,90.0,No,5.0,8.0,85.0
2.0,52.0,Yes,8.0,,33.0
30.91532574884556,44.0,Yes,6.0,4.0,20.0
5.0,80.0,Yes,9.0,9.0,66.0
30.91532574884556,,Ycs,9.0,8.0,38.0
6.0,40.0,,4.0,0.0,25.0
3.0,64.0,Yes,9.0,1.0,43.0
8.0,86.0, No ,6.0,9.0,79.0
1.0,,Yes,7.0,4.0,16.0
6.0,75.0,No,23.458558266338233,4.0,67.0
4.0,91.0,No,9.0,5.0,80.0
1.0,49.0,No,8.0,7.0,26.0
7.0,67.0,No,7.0,invalid,
9.0,96.0,No,5.0,9.0,91.0
4.0,,No,23.458558266338233,8.0,29.0
4.0,66.0,Yes,9.0,3.0,48.0
6.0,95.0,No,8.0,invalid,84.0
3.0,51.0,,6.0,4.0,33.0
6.0,91.0,,4.0,0.0,82.0
7.0,87.0,Yes,8.0,8.0,247.73254528643105
3.0,42.0,Yes,4.0,invalid,
7.0,85.0,Yes,9.0,invalid,81.0
3.0,72.0,Yes,8.0,3.0,54.0
2.0,49.0,Yes,5.0,7.0,25.0
4.0,70.0,Yes,6.0,invalid,53.0
8.0,54.0,No,6.0,6.0,48.0
9.0,46.0,Yes,7.0,invalid,40.0
7.0,75.0,No,8.0,6.0,66.0
1.0,,Yes,,5.0,29.0
3.0,95.0,Yek,4.0,,
9.0,87.0,No,8.0,9.0,89.0
1.0,53.0,Yes,,2.0,27.0
9.0,42.0,Yes,8.0,0.0,40.0
8.0,88.0,Yes,7.0,4.0,83.0
1.0,92.0,YES,7.0,7.0,69.0
6.0,85.0,yes,6.0,invalid,72.0
5.0,89.0,Yes,,7.0,77.0
6.0,42.0,YES,,6.0,32.0
5.0,61.0,No,8.0,,49.0
6.0,58.0,Yds,8.0,7.0,247.73254528643105
5.0,74.0,No,5.0,3.0,57.0
,51.0,No,,4.0,
4.0,93.0,No,9.0,7.0,76.0
3.0,44.0,No,4.0,4.0,22.0
3.0,49.0,No,8.0,4.0,30.0
30.91532574884556,80.0,,5.0,invalid,67.0
9.0,72.0,No,5.0,6.0,71.0
2.0,52.0,Yes,7.0,,29.0
9.0,74.0,Yes,8.0,6.0,74.0
30.91532574884556,,Yes,5.0,5.0,67.0
1.0,71.0,No,7.0,9.0,46.0
,50.0,Yes,4.0,3.0,34.0
6.0,87.0,,7.0,invalid,
6.0,77.0,No,4.0,1.0,64.0
3.0,63.0,aes,9.0,8.0,46.0
,74.0,No,23.458558266338233,9.0,68.0
,58.0,No,6.0,4.0,58.0
,45.0,,6.0,4.0,41.0
6.0,79.0,No,7.0,2.0,64.0
8.0,93.0, Yes ,6.0,2.0,84.0
30.91532574884556,84.0,No,8.0,0.0,70.0
8.0,,No,7.0,4.0,77.0
,81.0,Yxs,5.0,2.0,60.0
,74.0,Yes,8.0,1.0,65.0
30.91532574884556,43.0,Yes,,8.0,21.0
5.0,,No,9.0,9.0,60.0
9.0,52.0,,4.0,,48.0
4.0,95.0,Yes,,2.0,
6.0,75.0,Yes,6.0,6.0,63.0
1.0,,Yes,23.458558266338233,,68.0
9.0,82.0,No,,8.0,81.0
1.0,58.0,No,8.0,,29.0
5.0,82.0,Yes,4.0,1.0,66.0
4.0,51.0,Yes,,7.0,36.0
3.0,50.0,Yes,8.0,0.0,29.0
6.0,45.0,Nu,5.0,2.0,
2.0,51.0,Yes,9.0,6.0,31.0
3.0,66.0,Yes,5.0,7.0,
5.0,80.0,YES,4.0,,65.0
30.91532574884556,64.0,co,6.0,1.0,57.0
,81.0,No,5.0,invalid,58.0
8.0,42.0,Yes,9.0,8.0,38.0
2.0,42.0,NO,8.0,9.0,22.0
5.0,59.0,Yec,8.0,6.0,48.0
7.0,67.0,Yes,5.0,,247.73254528643105
8.0,62.0,Yee,6.0,2.0,58.0
1.0,87.0, Yys ,9.0,8.0,62.0
6.0,,Nl,4.0,6.0,
1.0,81.0,Yes,,1.0,56.0
2.0,63.0,Yes,7.0,5.0,40.0
1.0,82.0,No,,8.0,
5.0,,Yes,7.0,invalid,65.0
9.0,45.0,No,5.0,9.0,43.0
6.0,59.0,Yek,4.0,1.0,48.0
1.0,50.0,Yes,6.0,2.0,24.0
1.0,71.0,Yes,9.0,6.0,51.0
2.0,99.0,,6.0,3.0,81.0
9.0,66.0,No,,6.0,
3.0,60.0,Yes,8.0,4.0,43.0
1.0,83.0,No,23.458558266338233,7.0,63.0
5.0,87.0,No,23.458558266338233,7.0,73.0
7.0,89.0,No,9.0,4.0,76.0
6.0,52.0,Yes,6.0,6.0,43.0
1.0,61.0,No,6.0,invalid,247.73254528643105
,243.12340246831906,No,5.0,7.0,57.0
5.0,86.0,,8.0,8.0,72.0
6.0,61.0,Yes,,invalid,47.0
,67.0,Yes,23.458558266338233,6.0,52.0
5.0,60.0,No,9.0,0.0,49.0
7.0,85.0,No,8.0,7.0,77.0
5.0,57.0,Yes,5.0,2.0,41.0
5.0,70.0,,8.0,0.0,56.0
5.0,99.0,,7.0,5.0,89.0
3.0,85.0,No,9.0,7.0,65.0
,76.0,Yes,4.0,2.0,
5.0,60.0,eo,9.0,0.0,247.73254528643105
9.0,53.0,Nk,4.0,2.0,47.0
1.0,64.0,,7.0,4.0,37.0
3.0,66.0,No,9.0,7.0,48.0
30.91532574884556,79.0,Yes,9.0,8.0,61.0
1.0,,Yes,9.0,8.0,77.0
,,Yes,9.0,3.0,75.0
8.0,62.0,No,5.0,7.0,57.0
2.0,,No,6.0,invalid,45.0
8.0,86.0,No,,2.0,247.73254528643105
7.0,, No ,5.0,4.0,90.0
2.0,243.12340246831906,No,7.0,1.0,42.0
6.0,86.0,No,9.0,5.0,
30.91532574884556,69.0,No,8.0,0.0,60.0
3.0,90.0,No,9.0,5.0,73.0
2.0,65.0,Yes,9.0,4.0,40.0
1.0,59.0,No,4.0,8.0,32.0
6.0,77.0,No,8.0,invalid,67.0
5.0,58.0,Yes,9.0,5.0,46.0
9.0,66.0,No,9.0,,65.0
1.0,64.0,,9.0,9.0,42.0
7.0,79.0,No,5.0,4.0,69.0
30.91532574884556,77.0,No,7.0,0.0,62.0
