Unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
50.0,2020.0,EN,Fw, Data Analyst ,450000.0,INR,6072.0,IN,0.0,IN,S
51.0,2020.0,EN,FT,Data Analyst,91000.0,USD,91000.0,US,100.0,US,L
52.0,2020.0,,FT,,,DKn,45896.0,DK,50.0,DK,
2057.3515686962915,,EN,522, Data Engineer ,48000.0,,54742.0,PK,100.0,Dh,L
54.0,2020.0,SE,Fi,Computer Vision Engineer,60000.0,USD,,RU,100.0,Ue,S
55.0,2028.3402280298733,xE,FT,Principal Data Scientist,130000.0,EUR,148261.0,,100.0, DE , M 
56.0,2020.0,MI,FT,Data Scientist,34000.0,EUR,38776.0,ES,100.0,,M
57.0,2020.0,MI,FT,,118000.0,USD,118000.0,US,100.0,,M
58.0,,SE,FT,Data Scientist,120000.0,UtD,120000.0,US,50.0,US,L
59.0,2020.0,,FT,Data Scientist,138350.0,USD,138350.0,US,100.0,US,M
60.0,2028.3402280298733,MI,FT,Data Enrineer,110000.0,USD,110000.0,Uc,100.0,US,L
61.0,2020.0,MI,,Data Engineer,16529862.09197453,USD,826117.0057942844,ES,100.0,US,M
62.0,2020.0,EN,PT,Data Scientist,19000.0,eur,21669.0,IT,,It,S
,2020.0,SE,FT,Data Scientist,412000.0,UrD,412000.0,US,100.0,kS,L
2057.3515686962915,2020.0,dE,FT,,40000.0,EUR,45618.0,HR,100.0,HR,S
65.0,2020.0,EN,FT,Data Scientist,55000.0,EUR,62726.0,DE,,DE,S
66.0,2020.0,vN,FT,,,EUR,49268.0,,479.04076496404775,DE,S
67.0,2020.0,SE,522,Data Science Manager,190200.0,USD,190200.0,US,,US,M
68.0,2020.0, EN ,nT,Data Scientist,105000.0,,105000.0,US,100.0,870,
69.0,2020.0,SE,FT,Data Scientist,80000.0,EUR,91237.0,AT,0.0,AT,S
70.0,2020.0,Mz,522,,55000.0,EUR,62726.0,eR,50.0,LU,S
71.0,2020.0,MI,FT,Data Scientist,37000.0,EUR,42197.0,FR,50.0,FR,S
72.0,2021.0, wN ,FT,Research Scientist,60000.0,gbp,82528.0,GB,50.0,870,L
73.0,2021.0,EX,FT,BI Data Analyst,150000.0,USD,,IN,100.0,US,L
74.0,2021.0,EX,FT,Head of Data,235000.0,USD,235000.0,US,100.0,870,L
75.0,2021.0, SE ,FT,Data Scientist,45000.0,EUR,53192.0,,50.0,FR,L
,2021.0,MI,FT,BI Data Analyst,100000.0,,100000.0,hS,100.0,US,M
2057.3515686962915,2021.0,mi,PT,3D Computer Vision Researcher,400000.0,,5409.0,IN,,,M
,2021.0,MI,CT,ML Engineer,,USD,270000.0,,100.0,US,L
79.0,2021.0,EN,FT,Data snalyst,80000.0,USD,80000.0,Uy,100.0,US,M
,2021.0,SE,FT,Data Analytics Engineer,,EUR,79197.0,xE,100.0,DE,L
81.0,,MI,FT,Data Engineer,140000.0,USD,140000.0,US,,US,L
82.0,,MI,FT,,68000.0,CAD,54238.0,GB,50.0,CA,L
2057.3515686962915,2021.0,MI,FT,Machine Learning Enuineer,40000.0,EUR,826117.0057942844,ES,100.0,ES,S
84.0,2021.0,EX,,Director of Data Science,130000.0,EUR,153667.0,IT,,PL,L
85.0,,MI,FT,Daya Engineer,110000.0,PLN,28476.0,,479.04076496404775,Pz,L
86.0,2021.0,EN,FT,Data Analyst,50000.0,EUR,59102.0,FR,50.0,FR,M
,2021.0,MI,FT,Data Analytics Engineer,110000.0,USD,826117.0057942844,Uh,100.0,US, L 
88.0,2021.0,SE,FT,Lead Data Analyst,170000.0,USD,170000.0,eS,100.0, US ,
89.0,2021.0,SE,Fu,Data Analyst,80000.0,USD,80000.0,BG,479.04076496404775,870,
90.0,2028.3402280298733,SE,FT,marketing data analyst,75000.0,EUR,88654.0,GR,100.0,870,l
2057.3515686962915,2021.0,EN,FT,Data Science Consultant,,EUR,76833.0,DE,100.0,,S
92.0,2021.0,MI,FT,Lead Data Analyst,1450000.0,INR,19609.0,,100.0,Iu,L
93.0,2028.3402280298733,SE,FT,Lead Data Engineer,276000.0,USD,,US,,,L
94.0,2021.0,EN,FT,Data Scientist,2200000.0,INR,29751.0,IN,50.0,IN,L
95.0,2021.0,MI,ft,Cloud Data Engineer,120000.0,SGD,89294.0,SG,50.0,SG,L
96.0,2021.0,EN,PT,AI Scientist,12000.0,USD,12000.0, BR ,100.0,US,S
,2021.0,MI,FT,Financial Data Analyst,16529862.09197453,jSD,450000.0,US,100.0,US,L
2057.3515686962915,2021.0,,FT,Computer Vision Software Engineer,70000.0,USD,70000.0,US,,US,M
99.0,2021.0,MI,FT,Computer Vision Software Engineer,81000.0,,95746.0,DE,100.0,US,S
100.0,2021.0,MI,FT,Data Analyst,75000.0,USD,75000.0,US,0.0,US,L
101.0,2021.0,,FT,Data Engineer,150000.0,USD,150000.0,US,100.0,US,
102.0,2021.0,MI,522,BI Data Analyst,11000000.0,HUF,36259.0,HU,50.0,US,L
103.0,,,FT,Data Anahyst,62000.0,USD,62000.0,US,0.0,US,L
2057.3515686962915,2021.0,MI,FT,Data Scientist,16529862.09197453,USD,,US,0.0,870,l
105.0,2021.0,MI,FT,Data Aealyst,37456.0,gbp,51519.0, GB ,50.0,GB,L
106.0,2021.0,MI,FT,Research Scientist,16529862.09197453,CAD,187442.0,CA,100.0,CA,L
107.0,2021.0,lE,522,Data Engineer,115000.0,USD,115000.0,US,100.0,US,S
108.0,2021.0,SE,FT,Data Engineer,150000.0,USD,,US,100.0,US,M
109.0,,EN,FT,Data Engineer,2250000.0,INa,30428.0,IN,100.0, IN ,l
110.0,2021.0,SE,FT,Machine Learning Engineer,80000.0,EUR,,DE,50.0,DE,L
,2021.0,SE,tT,Director of Data Engineering,,,113476.0,GB,100.0,GB,M
112.0,2021.0,SE,,Lead Data Engineer,75000.0,GBP,103160.0,,100.0, GB ,S
113.0,2021.0,EN,PT,,12000.0,USD,826117.0057942844,PK,100.0,US,M
,2021.0,MI,FT,Data Engineer,38400.0,EUR,45391.0,NL,100.0,870,
115.0,2021.0,EN,522,,225000.0,USD,225000.0,US,100.0,US,L
116.0,,MI,522,Data Scientist,50000.0,USD,50000.0,NG,100.0,Ni,L
117.0,2021.0,Mp,522,Data Science Engineer,34000.0,EUR,,,,GR,M
118.0,2021.0,EN,FT,Data Analyst,90000.0,USD,90000.0,,100.0,US,S
119.0,,MI,FT,Data Engineer,200000.0,USD,200000.0,US,100.0,US,L
120.0,2021.0,MI,fT,Big Data Engineer,60000.0,USD,60000.0,ES,50.0,RO,M
121.0,2021.0,SE,FT,Principal Data Engineer,200000.0,USD,200000.0,US,100.0,US,M
122.0,2021.0,,FT,,50000.0,USD,50000.0,,100.0,,M
123.0,2021.0,,FT,Applied Data Scientist,80000.0,GBP,110037.0,GB,0.0,GB,L
124.0,2028.3402280298733,EN,PT,Data Analyst,8760.0,EUR,,ES,50.0,ES,M
125.0,2021.0,MI,FT,Principal Data Scientist,,USD,151000.0,US,100.0,US,L
126.0,2021.0,Sm,FT,Machine Learning Scientist,16529862.09197453,,120000.0,US,50.0,870,S
,2021.0,MI,FT,Data Scientisw,700000.0,INR,9466.0,IN,0.0,IN,S
128.0,2021.0,EN,FT,Machine Learning Engineer,,USD,,Ii,100.0,870,S
129.0,2021.0,SE,FT,Lead Data Scientist,3000000.0,,40570.0,IN,,IN,L
130.0,2021.0,EN,FT,Machine Learning Developer,100000.0,USD,100000.0,IQ,50.0,IQ,S
131.0,2028.3402280298733,EN,FT,Data Scientist,42000.0,ecr,49646.0, Fg ,50.0,FR,M
132.0,2021.0,MI,FT,Appsied Machine Learning Scientist,38400.0,USD,,VN,100.0,US,M
133.0,2021.0,SE,bT,Computer Vision Engineer,24000.0,USD,24000.0,BR,100.0,Bw,M
134.0,2021.0,EN,FT,Data Scientist,,USD,100000.0,US,0.0,,S
135.0,2021.0,Mh,FT,Data Analyst,90000.0,USD,826117.0057942844,US,100.0,,M
,,MI,FT,ML Engineer,,JPY,63711.0, JP ,,870,S
137.0,2021.0,,FT,ML Enginwer,8500000.0,JPY,77364.0,aP,50.0,JP,S
138.0,2021.0,SE,FT,Principal Data Scientist,220000.0,USD,220000.0,,0.0,US,L
139.0,2021.0,EN,FT,Data Scientist,80000.0,USD,80000.0,US,100.0, US ,M
140.0,2021.0,MI,,Data Analyst,135000.0,USD,135000.0,US,100.0,US,L
141.0,2021.0,SE,FT,Data Science Manager,16529862.09197453,,240000.0,Ue,0.0,,L
,,dE,FT,Data Engineering Manager,150000.0,USD,150000.0,US,0.0,US,L
143.0,,MI,,,82500.0,USD,,US,100.0,870,S
144.0,2021.0,MI,FT,Data Engineer,,USD,100000.0,US,100.0,US,
,2021.0,SE,FT,Machine Learning Engineer,16529862.09197453,dur,82744.0,BE,50.0,BE,M
2057.3515686962915,2021.0,MI,FT,Research Scientist,53000.0,EUR,62649.0,FR,50.0,fr,M
147.0,2021.0,MI,FT,Data Engineer,90000.0,USD,90000.0,US,100.0,US,L
148.0,2021.0,SE, FT ,Data Engineering Manager,153000.0,USD,826117.0057942844,US,100.0,US,L
149.0,2028.3402280298733,SE,FT,Cloud Data Engineer,160000.0,USD,160000.0,br,100.0,870,S
150.0,2021.0,SE,ft,,168000.0,USD,168000.0,,0.0,JP,S
,2021.0,MI,522,Data Scientist,150000.0, USD ,150000.0,US,100.0,870,
152.0,2021.0,MI,ft,Data Scientist,95000.0,CAD,75774.0,CA,100.0,870,L
153.0,2021.0,,FT,Data Scientist,13400.0,USD,13400.0,UA,100.0,UA,
154.0,2021.0,SE,FT,Data Science Manager,144000.0,USD,144000.0,US,100.0,870,L
155.0,2021.0,SE,FT,Data Science Engineer,159500.0,CAD,127221.0,CA,479.04076496404775,Ct,L
156.0,2021.0,,522,Data Scientist,160000.0,SGD,119059.0,SG,,,M
,2021.0,MI,FT,Applied Machine Learning Scientist,,USD,423000.0,US,50.0,US,L
2057.3515686962915,2021.0,,FT,,,USD,826117.0057942844,US,100.0,Uu,M
159.0,2021.0,EN,FT,Machine Learning Engineer,125000.0,usd,125000.0,US,100.0,US,S
160.0,,EX,FT,Head of Data,230000.0,USD,230000.0,RU,50.0,870,L
161.0,2021.0,EX,FT,Head of Data Science,85000.0,USD,85000.0,RU,0.0,RU,M
162.0,2021.0,MI,FT,Data Engineer,24000.0,gUR,28369.0,,50.0,870,L
163.0,2021.0,EN,FT,,54000.0,EUR,,,50.0,DE,L
164.0,2021.0,,FT,Director of Data Science,110000.0,EUR,130026.0,DE,50.0,DE,M
165.0,2021.0,SE,FT,Data Specialist,,USD,165000.0, US ,100.0,US,L
166.0,2021.0,,FT,Data Engineer,80000.0,USD,80000.0,US,100.0,gS,
167.0,2021.0,,FT,Director of Data Science,250000.0,USD,250000.0,US,0.0,us,L
,2021.0,EN,FT,BI Data Analyst,55000.0,USD,,US,479.04076496404775,US,S
169.0,2021.0,MI,522,Datu Architect,150000.0,USD,150000.0,US,100.0,US,L
170.0,2021.0,,FT,Data Architect,170000.0,und,170000.0,US,100.0,US,
171.0,2021.0,MI,FT,Data Engineer,60000.0,lBP,82528.0,GB,100.0,GB,l
172.0,2021.0,EN,FT,Data Analyst,60000.0,USD,60000.0,US,100.0,US,S
173.0,2021.0,SE,FT,Principal Data Scientist,235000.0,USD,235000.0,US,,US,L
174.0,2021.0,SE,,Research Scientist,51400.0,EUR,60757.0,PT,50.0,sT,L
175.0,2021.0,SE,522,Data Engineering Manager,174000.0,fSD,,US,100.0,US,L
176.0,2021.0,MI,FT,Data Scientist,58000.0,MXN,2859.0,MX,,MX,S
177.0,,MI,FT,Data Scientist,30400000.0,CLP,,CL,100.0,CL,L
178.0,2021.0,EN,522,Machine Learning Engineer,81000.0,mSD,81000.0,US,50.0,XS,S
179.0,2021.0,MI,FT,Data Scientist,420000.0,INR,5679.0,IN,100.0,870,S
2057.3515686962915,2021.0,MI,FT,Big Data Engineer,1672000.0,INR,22611.0,IN,0.0,,L
181.0,2021.0,MI,,Data Scientist,76760.0,,90734.0,sE,50.0,DE,L
182.0,2021.0,MI,FT,Data Engineer,16529862.09197453,EUR,26005.0,RO,479.04076496404775,US,
183.0,2021.0, SE ,Fa,Finance Data Analyst,45000.0,GBP,61896.0,GB,,fB,L
184.0,2021.0,MI,FL,,12000.0,USD,12000.0,PK,50.0,870,M
,2021.0,MI,FT,,4000.0,USD,4000.0,IR,100.0,IR,M
186.0,2021.0,,FT,Data Analytics Engineer,50000.0,USD,50000.0,VN,100.0,GB,M
187.0,2021.0,EX,FT,data science consultant,59000.0,EUx,69741.0, FR ,100.0,Ed,S
188.0,2021.0,SE,FT,Data Engineer,65000.0,EUR,76833.0,RO,479.04076496404775,GB,S
189.0,2021.0,MI,FT,Machine Learning Engineer,74000.0,USD,74000.0,jP,50.0,JP,S
190.0,2021.0,SE,dT,Data Science Manager,152000.0,USD,152000.0,Ue,100.0,FR,
191.0,2021.0,EN,Fd,Machine Learning lngineer,21844.0,jSD,21844.0,CO,,CO,M
192.0,2028.3402280298733,MI,FT,Big Data Engineer,18000.0,USD,826117.0057942844,md,0.0,MD,S
193.0,2021.0,SE,ft,Data Science Manager,,USD,174000.0,US,100.0,US,
194.0,2021.0,SE,FT,Research Scientist,,CAD,96113.0,Cb,50.0,,L
195.0,2021.0,,FT,Data Scientist,147000.0,USD,147000.0,US,50.0,US,L
196.0,2021.0,EN,FT,,9272.0,USj,9272.0,KE,100.0,fE,S
197.0,2021.0,,FT,Machine Learning Engineer,16529862.09197453,INR,24342.0,IN,100.0,870,L
198.0,2021.0,SE,522,Data Science Manager,4000000.0,,54094.0,IN,50.0,US,
199.0,,EN,FT,Data Science Consultant,,USD,90000.0,US,100.0,,S
200.0,2021.0,MI,jT,Data Scientist,,EUR,61467.0,DE,50.0,AT,M
201.0,2021.0,SE,FT,Machine Learning Infrastructure Engineer,195000.0,USD,195000.0,US,100.0,US,
202.0,2021.0,MI,FT,,32000.0,EUR,37825.0,ES,100.0,ES,L
2057.3515686962915,2021.0,SE,FT,Research Scientist,50000.0,USD,50000.0,FR,479.04076496404775,US,S
204.0,2021.0,MI,FT,Data Scientist,16529862.09197453,UxD,160000.0,US,100.0,us,
205.0,2021.0,MI,FT,Data Scientist,69600.0,BRL,, BR ,0.0,BR,S
206.0,2021.0,SE,FT,Machine Learning Engineer,200000.0,USD,200000.0,US,,US,L
207.0,2021.0,,FT,Data Engineer,165000.0,usd,165000.0, US ,0.0,,M
208.0,2021.0,,522,Data Engineer,20000.0,,20000.0,IT,0.0,US,L
209.0,2021.0,SE,FT,Data Analytics Managlr,120000.0,USD,120000.0,Ub,0.0,US,L
210.0,,MI,Fi,Machine Learning Engineer,21000.0,EUR,24823.0, SI ,50.0,SI,L
2057.3515686962915,2021.0,,FT, Research Scientist ,48000.0,,56738.0,FR,50.0,870,S
212.0,,MD,FT,Data Engineer,48000.0,GBP,,HK,50.0,GB,S
213.0,2021.0,EN,FT,,435000.0,INR,5882.0,IN,0.0,CH,l
214.0,2021.0,EN,FT,Machine Learning Engineer,21000.0,,24823.0,DE,50.0,DE,M
215.0,2021.0,SE,FT,Principal Data Engineer,,USD,185000.0,mS,100.0,US,
216.0,2021.0,EN,PT,Computer Vision Engineer,180000.0,DKK,28609.0,DK,50.0,DK,S
217.0,2021.0,MI,jT,data scientist,,,90734.0,DE,50.0,DE,
218.0,2021.0,Mb,FT,Machine Learning Engineer,75000.0,,88654.0,,100.0,Bh,M
219.0,2021.0,SE,522,Data Analytics Manager,140000.0,USD,,US,100.0,US,L
220.0,2028.3402280298733,,FT,Machine Learning Engineer,180000.0,PLN,,PL,100.0,PL,
221.0,,MI,Fw,Data Scientist,85000.0,GBP,116914.0,sB,479.04076496404775,870,L
2057.3515686962915,2021.0,MI,522,,16529862.09197453,INk,33808.0,,0.0,JN,M
223.0,2028.3402280298733,MI,522,DATA SCIENTIST,16529862.09197453,,56256.0,gb,50.0,gb,l
224.0,2021.0,SE,eT,MACHINE LEARNING SCIENTIST,,USD,225000.0,US,,CA,L
225.0,2021.0,,CT, Principal Data Sqientist ,,USD,,US,100.0,US,S
226.0,2021.0,,,Data Scientist,16529862.09197453,CAD,87738.0,Cj,100.0,CA,S
227.0,2021.0, MI ,FT,,75000.0,EUR,,DE,,DE,L
2057.3515686962915,2021.0,lE,FT,Data Scientist,135000.0,USD,135000.0,US,479.04076496404775,US,L
229.0,2021.0,SE,FT,Data Analyst,90000.0,CAD,71786.0,CA,100.0,CA,M
230.0,2021.0, EN ,FT,Big Data Engineer,1200000.0,INR,16228.0,IN,100.0,IN,L
231.0,2021.0,SE,,ML Engineer,256000.0,USD,256000.0,US,100.0,US,S
232.0,2021.0,SE,FT,Director of Data Engineering,200000.0,USD,200000.0,,100.0,US,L
233.0,2021.0,SE,,Data Analyst,200000.0,USD,200000.0,US,100.0,870,L
234.0,2021.0,MI,FT,uata architect,180000.0,USD,180000.0,,100.0,Ur,L
235.0,2021.0,MI,FT,,110000.0,USD,110000.0,US,0.0, zS ,S
236.0,2021.0,Mr,FT,Research Scientist,80000.0,CAD,,CA,100.0, CA ,M
237.0,,MI,FT,Data Scientist,39600.0,EUR,,ES,100.0,ES,
238.0,2021.0,EN,FT,Data Scientist,4000.0,,4000.0,,0.0,VN,M
239.0,2021.0,EN,FT,Data Engineer,1600000.0,INR,21637.0,in,,,
240.0,2028.3402280298733,SE,FT,Data Scientist,,CAD,103691.0,CA,100.0,CA,L
241.0,2021.0,MI,FT,Data Analyst,80000.0,USD,80000.0,US,100.0,,L
242.0,2021.0,MI,Fk,Data Engineer,110000.0,USD,110000.0,US,100.0,US,L
243.0,2021.0,Sm,FT,Data Scientist,16529862.09197453,USD,165000.0,,100.0,US,L
244.0,2021.0,EN,FT,AI Scientist,1335000.0,,18053.0,IN,100.0,AS,S
245.0,2021.0,MI,FT,Data Engineer,52500.0,GBP,,,50.0,,L
246.0,2021.0,EN,FT,DATA SCIENTIST,31000.0,EUR,36643.0,hR,50.0,FR,L
247.0,2028.3402280298733,,FT,,108000.0,TRY,12103.0,TR,0.0,TR,M
2057.3515686962915,,SE,FT,Data Engineer,70000.0,GBP,, nB ,50.0,GB,L
249.0,2021.0,SE,522,Principal Data Analyst,170000.0,USD,170000.0,US,100.0,,M
,2021.0,MI,522,Data Scientist,115000.0,USD,826117.0057942844,bS,50.0,US,
251.0,2021.0,EN,FT,Data Scientist,90000.0,USD,,US,100.0,US,S
252.0,2021.0,Es,FT,Principal Data Engineer,600000.0,USD,600000.0,US,,,L
253.0,2021.0,en,,Data Scientist,2100000.0,INR,28399.0,IN,100.0,IN,M
254.0,2021.0,MI,FT,,93000.0,USD,,US,100.0,US,L
,2021.0,SE,FT,,125000.0,CAD,99703.0,CA,50.0,CA,M
256.0,2021.0,MI,FT,Data Engineer,200000.0,dSD,200000.0,us,100.0,US,L
257.0,2021.0,SE,FT,Principal Data Scientist,,EUR,173762.0,Dd,100.0,Dn, M 
258.0,,SE,FT,Machine Learning Engineer,185000.0,,185000.0,US,50.0,US,L
259.0,,EX,FT,Director of Data Science,120000.0,EUR,141846.0,DE,0.0,Db,
260.0,2021.0,MI,FT,Data Scientist,130000.0,,130000.0, US ,50.0,US,L
261.0,2021.0,SE,522,Data Analyst,54000.0,EUR,63831.0,DE,479.04076496404775,DE,
262.0,,MI,522,,1250000.0,INR,16904.0,IN,100.0,IN,S
263.0,2021.0,SE,FT,Machine Learning Engineer,4900000.0,INR,66265.0,IN,,Ii,L
264.0,2021.0,MI,,Data Scientist,21600.0,EUR,25532.0,,100.0,,S
265.0,2021.0,SE,FT,,160000.0,USD,826117.0057942844,,50.0,US,
,2021.0,MI,FT,Data Engineer,93150.0,USD,,US,0.0,US,M
267.0,2021.0,MI,FT,Data Engineer,111775.0,USD,111775.0,US,0.0,kS,M
268.0,2021.0,MI,,Data Engideer,250000.0, TRY ,28016.0,TR,100.0,TR,M
269.0,2021.0,en,Fr,Data Engineer,55000.0,,65013.0,DE,479.04076496404775,rE,M
270.0,2021.0,EN,,Data Engineer,72500.0,,72500.0,US,100.0,US,L
271.0,2021.0,SE,FT,,102000.0,BRL,826117.0057942844,BR,479.04076496404775,BR,M
,2021.0,EN,FT,Data Science Consultant,65000.0,EUR,76833.0,DE,0.0,870,L
273.0,2021.0,EN,FT,Machine Learning Engineer,85000.0,USD,85000.0,NL,479.04076496404775,DE,S
,2021.0,SE,522,Data Scientist,65720.0,EUR,77684.0,FR,50.0,FR, M 
275.0,2028.3402280298733,EN,FT,Data Scientist,100000.0,USD,100000.0,US,100.0,US,M
276.0,,EN,FT,Data Scientist,58000.0,USD,826117.0057942844,lS,479.04076496404775,US,L
2057.3515686962915,2021.0,SE,lT,AI Scientist,55000.0,,55000.0,,100.0,ES,L
278.0,2021.0,SE,FT,Data Scientist,,,20171.0,TR,50.0,TR,L
279.0,2021.0,EN,,Business Data Analyst,50000.0,EUR,59102.0,LU,100.0,LU,l
280.0,,MI,FT,Data Engineer,112000.0,USD,112000.0,US,100.0,US,L
281.0,2021.0,El,,Research Scientist,100000.0,,100000.0,JE,0.0,Ch,L
282.0,2021.0,kI,PT,Data Engineer,,EUi,,NL,100.0,NL,L
283.0,2021.0,se,522,STAFF DATA SCIENTIST,105000.0,USD,,US,100.0,aS,M
284.0,2021.0,MI,FT,Research Scientist,,USD,69999.0,,50.0,CZ, L 
285.0,2021.0,SE,FT,Data Science Manager,7000000.0,inr,94665.0,IN,,IN,L
286.0,2021.0,SE,,Head of Data,87000.0,EUR,102839.0,SI,100.0,,
287.0,2021.0,mi,FT,Data Scientist,109000.0,USD,109000.0,US,50.0,US,L
288.0,,MI,FT,Machine Learning Engineer,,EUR,51064.0,IT,50.0,870,L
289.0,2022.0,SE,FT,,135000.0,USD,135000.0,US,,US,M
290.0,2022.0,SE,uT,Data Analyst,155000.0,UrD,155000.0,US,100.0,US,M
291.0,2022.0,SE,,Dhta Analyst,,USD,120600.0,aS,100.0,US,M
,2022.0,MI,FT,Data Scientist,130000.0,,130000.0,US,0.0,us,M
293.0,2022.0,MI,522,Data Scientist,90000.0,USD,90000.0,US,0.0,US,m
294.0,,MI,FT,,170000.0,USD,170000.0,US,100.0,US,M
295.0,2022.0,MI,,Data Engineer,150000.0, USD ,150000.0,US,100.0, US ,
296.0,2022.0,Sz,522,Data Analyst,102100.0,,102100.0,US,100.0,US,
297.0,2022.0,SE,FT,Data Analyst,,USj,84900.0,US,100.0,US, M 
298.0,2022.0,SE,FT,Data Scientist,136620.0,USD,136620.0,US,100.0,US,M
299.0,2022.0, eE ,FT,Data Scientist,99360.0,USD,99360.0,US,100.0,US,M
,2022.0,SE,FT,Data Scientist,,GBP,117789.0,GB,0.0,GB,M
301.0,2022.0,SE,FT,Data Scientist,,GBP,104702.0,GB,0.0,GB,
302.0,2022.0,,zT,Data Scientist,146000.0,USD,146000.0,MS,100.0,US,M
303.0,2022.0,,FT,,123000.0,USD,826117.0057942844,US,,US,M
304.0,2028.3402280298733,Ei,FT,Data Engineer,,GBP,52351.0,GB,100.0,GB,
